Year,Time
1977,3:48:51
1978,3:52:35
1979,3:27:56
1980,2:49:04
1981,2:38:41
1982,2:12:43
1983,2:27:07
1984,2:56:51
1985,2:05:26
1986,2:09:28
1987,2:19:55
1988,2:10:44
1989,1:50:06
1990,1:43:17
1991,1:42:42
1992,1:36:52
1993,1:34:50
1994,1:34:22
1995,1:40:42
1996,1:52:56
1997,1:54:28
1998,1:41:19
1999,1:42:23
2000,2:00:52
2001,1:53:54
2002,1:45:57
2003,1:54:47
2004,1:39:53
2005,1:47:45
2006,1:43:42
2007,1:53:30
2008,1:48:32
2009,1:54:37
2010,1:43:32
2011,1:34:06
2012,1:37:36
2013,1:45:25
2014,1:35:06
2015,1:52:54
2016,1:42:16
2017,1:28:17
