Year,Athlete,Time
1897,John J. McDermott,2:55:10
1898,Ronald J. MacDonald,2:42:00
1899,Lawrence Brignolia,2:54:38
1900,"John ""Jack"" Caffery",2:39:44
1901,"John ""Jack"" Caffery",2:29:23
1902,Sammy Mellor,2:43:12
1903,John Lorden,2:41:29
1904,Michael Spring,2:38:04
1905,Frederick Lorz,2:38:25
1906,Tim Ford,2:45:45
1907,Thomas Longboat,2:24:24
1908,Thomas Morrissey,2:25:43
1909,Henri Renaud,2:53:36
1910,Fred Cameron,2:28:52
1911,Clarence DeMar,2:21:39
1912,Michael J. Ryan,2:21:18
1913,Fritz Carlson,2:25:14
1914,James Duffy,2:25:14
1915,Édouard Fabre,2:31:41
1916,Arthur Roth,2:27:16
1917,Bill Kennedy,2:28:37
1918,Camp Devens relay team[3],2:29:53
1919,Carl Linder,2:29:13
1920,Peter Trivoulides,2:29:31
1921,Frank Zuna,2:18:57
1922,Clarence DeMar,2:18:10
1923,Clarence DeMar,2:23:47
1924,Clarence DeMar,2:29:40
1925,Charles Mellor,2:33:00
1926,Johnny Miles,2:25:40
1927,Clarence DeMar,2:40:22
1928,Clarence DeMar,2:37:07
1929,Johnny Miles,2:33:08
1930,Clarence DeMar,2:34:48
1931,James Henigan,2:46:45
1932,Paul de Bruyn,2:33:36
1933,Leslie S. Pawson,2:31:01
1934,Dave Komonen,2:32:53
1935,John A. Kelley,2:32:07
1936,Ellison Brown,2:33:40
1937,Walter Young,2:33:20
1938,Leslie S. Pawson,2:35:34
1939,Ellison Brown,2:28:51
1940,Gérard Côté,2:28:28
1941,Leslie S. Pawson,2:30:38
1942,Joe Smith,2:26:51
1943,Gérard Côté,2:28:25
1944,Gérard Côté,2:31:50
1945,John A. Kelley,2:30:40
1946,Stylianos Kyriakides,2:29:27
1947,Suh Yun-bok,2:25:39
1948,Gérard Côté,2:31:02
1949,Gösta Leandersson,2:31:50
1950,Ham Kee-Yong,2:32:39
1951,Shigeki Tanaka,2:27:45
1952,Doroteo Flores,2:31:53
1953,Keizo Yamada,2:18:51
1954,Veikko Karvonen,2:20:39
1955,Hideo Hamamura,2:18:22
1956,Antti Viskari,2:14:14
1957,John J. Kelley,2:20:05
1958,Franjo Mihalić,2:25:54
1959,Eino Oksanen,2:22:42
1960,Paavo Kotila,2:20:54
1961,Eino Oksanen,2:23:39
1962,Eino Oksanen,2:23:48
1963,Aurèle Vandendriessche,2:18:58
1964,Aurèle Vandendriessche,2:19:59
1965,Morio Shigematsu,2:16:33
1966,Kenji Kimihara,2:17:11
1967,Dave McKenzie,2:15:45
1968,Amby Burfoot,2:22:17
1969,Yoshiaki Unetani,2:13:49
1970,Ron Hill,2:10:30
1971,Álvaro Mejía,2:18:45
1972,Olavi Suomalainen,2:15:39
1973,Jon Anderson,2:16:03
1974,Neil Cusack,2:13:39
1975,Bill Rodgers,2:09:55
1976,Jack Fultz,2:20:19
1977,Jerome Drayton,2:14:46
1978,Bill Rodgers,2:10:13
1979,Bill Rodgers,2:09:27
1980,Bill Rodgers,2:12:11
1981,Toshihiko Seko,2:09:26
1982,Alberto Salazar,2:08:52
1983,Greg Meyer,2:09:00
1984,Geoff Smith,2:10:34
1985,Geoff Smith,2:14:05
1986,Robert de Castella,2:07:51
1987,Toshihiko Seko,2:11:50
1988,Ibrahim Hussein,2:08:43
1989,Abebe Mekonnen,2:09:06
1990,Gelindo Bordin,2:08:19
1991,Ibrahim Hussein,2:11:06
1992,Ibrahim Hussein,2:08:14
1993,Cosmas Ndeti,2:09:33
1994,Cosmas Ndeti,2:07:15
1995,Cosmas Ndeti,2:09:22
1996,Moses Tanui,2:09:15
1997,Lameck Aguta,2:10:34
1998,Moses Tanui,2:07:34
1999,Joseph Chebet,2:09:52
2000,Elijah Lagat,2:09:47
2001,Lee Bong-Ju,2:09:43
2002,Rodgers Rop,2:09:02
2003,Robert Kipkoech Cheruiyot,2:10:11
2004,Timothy Cherigat,2:10:37
2005,Hailu Negussie,2:11:44
2006,Robert Kipkoech Cheruiyot,2:07:14
2007,Robert Kipkoech Cheruiyot,2:14:13
2008,Robert Kipkoech Cheruiyot,2:07:45
2009,Deriba Merga,2:08:42
2010,Robert Kiprono Cheruiyot,2:05:52
2011,Geoffrey Mutai,2:03:02
2012,Wesley Korir,2:12:40
2013,Lelisa Desisa Benti,2:10:22
2014,Meb Keflezighi,2:08:37
2015,Lelisa Desisa Benti,2:09:17
2016,Lemi Berhanu Hayle,2:12:45
2017,Geoffrey Kirui,2:09:37
