Year,Athlete,Country/State,Time,Notes
1975,Robert Hall,United States (MA),2:58:00,
1976,none,,,
1977,Robert Hall,United States (MA),2:40:10,2nd victory
1978,George Murray,United States (FL),2:26:57,
1979,Ken Archer,United States (OH),2:38:59,
1980,Curt Brinkman,United States (UT),1:55:00,
1981,Jim Martinson,United States (WA),2:00:41,
1982,Jim Knaub,United States (CA),1:51:31,
1983,Jim Knaub,United States (CA),1:47:10,2nd victory
1984,"Viger, AndréAndré Viger",Canada,2:05:20,
1985,George Murray,United States (FL),1:45:34,2nd victory
1986,"Viger, AndréAndré Viger",Canada,1:43:25,2nd victory
1987,"Viger, AndréAndré Viger",Canada,1:55:42,3rd victory
1988,"Badid, MustaphaMustapha Badid",France,1:43:19,
1989,"Couprie, PhilippePhilippe Couprie",France,1:36:04,
1990,"Badid, MustaphaMustapha Badid",France,1:29:53,2nd victory
1991,Jim Knaub,United States (CA),1:30:44,3rd victory
1992,Jim Knaub,United States (CA),1:26:28,4th victory
1993,Jim Knaub,United States (CA),1:22:17,5th victory
1994,"Frei, HeinzHeinz Frei",Switzerland,1:21:23,
1995,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:25:59,
1996,"Frei, HeinzHeinz Frei",Switzerland,1:30:14,2nd victory
1997,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:28:14,2nd victory
1998,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:21:52,3rd victory
1999,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:21:36,4th victory
2000,"Nietlispach, FranzFranz Nietlispach",Switzerland,1:33:32,5th victory
2001,"van Dyk, ErnstErnst van Dyk",South Africa,1:25:12,
2002,"van Dyk, ErnstErnst van Dyk",South Africa,1:23:19,2nd victory
2003,"van Dyk, ErnstErnst van Dyk",South Africa,1:28:32,3rd victory
2004,"van Dyk, ErnstErnst van Dyk",South Africa,1:18:27,4th victory
2005,"van Dyk, ErnstErnst van Dyk",South Africa,1:24:11,5th victory
2006,"van Dyk, ErnstErnst van Dyk",South Africa,1:25:29,6th victory
2007,"Soejima, MasazumiMasazumi Soejima",Japan,1:29:16,
2008,"van Dyk, ErnstErnst van Dyk",South Africa,1:26:49,7th victory
2009,"van Dyk, ErnstErnst van Dyk",South Africa,1:33:29,8th victory
2010,"van Dyk, ErnstErnst van Dyk",South Africa,1:26:53,9th victory
2011,"Soejima, MasazumiMasazumi Soejima",Japan,1:18:50,2nd victory
2012,"Cassidy, JoshuaJoshua Cassidy",Canada,1:18:25,
2013,"Yamamoto, HiroyukiHiroyuki Yamamoto",Japan,1:25:33,
2014,"van Dyk, ErnstErnst van Dyk",South Africa,1:20:36,10th victory
2015,"Hug, MarcelMarcel Hug",Switzerland,1:29:53,
2016,"Hug, MarcelMarcel Hug",Switzerland,1:24:01,2nd victory
2017,"Hug, MarcelMarcel Hug",Switzerland,1:18:03,3rd victory
2018,TBD,TBD,TBD,
