Name,Gender,Type,Year,Minutes
John J. McDermott,Men,M,1897,175
Ronald J. MacDonald,Men,M,1898,162
Lawrence Brignolia,Men,M,1899,175
"John ""Jack"" Caffery",Men,M,1900,160
"John ""Jack"" Caffery",Men,M,1901,149
Sammy Mellor,Men,M,1902,163
John Lorden,Men,M,1903,161
Michael Spring,Men,M,1904,158
Frederick Lorz,Men,M,1905,158
Tim Ford,Men,M,1906,166
Thomas Longboat,Men,M,1907,144
Thomas Morrissey,Men,M,1908,146
Henri Renaud,Men,M,1909,174
Fred Cameron,Men,M,1910,149
Clarence DeMar,Men,M,1911,142
Michael J. Ryan,Men,M,1912,141
Fritz Carlson,Men,M,1913,145
James Duffy,Men,M,1914,145
Édouard Fabre,Men,M,1915,152
Arthur Roth,Men,M,1916,147
Bill Kennedy,Men,M,1917,149
Camp Devens relay team[3],Men,M,1918,150
Carl Linder,Men,M,1919,149
Peter Trivoulides,Men,M,1920,150
Frank Zuna,Men,M,1921,139
Clarence DeMar,Men,M,1922,138
Clarence DeMar,Men,M,1923,144
Clarence DeMar,Men,M,1924,150
Charles Mellor,Men,M,1925,153
Johnny Miles,Men,M,1926,146
Clarence DeMar,Men,M,1927,160
Clarence DeMar,Men,M,1928,157
Johnny Miles,Men,M,1929,153
Clarence DeMar,Men,M,1930,155
James Henigan,Men,M,1931,167
Paul de Bruyn,Men,M,1932,154
Leslie S. Pawson,Men,M,1933,151
Dave Komonen,Men,M,1934,153
John A. Kelley,Men,M,1935,152
Ellison Brown,Men,M,1936,154
Walter Young,Men,M,1937,153
Leslie S. Pawson,Men,M,1938,156
Ellison Brown,Men,M,1939,149
Gérard Côté,Men,M,1940,148
Leslie S. Pawson,Men,M,1941,151
Joe Smith,Men,M,1942,147
Gérard Côté,Men,M,1943,148
Gérard Côté,Men,M,1944,152
John A. Kelley,Men,M,1945,151
Stylianos Kyriakides,Men,M,1946,149
Suh Yun-bok,Men,M,1947,146
Gérard Côté,Men,M,1948,151
Gösta Leandersson,Men,M,1949,152
Ham Kee-Yong,Men,M,1950,153
Shigeki Tanaka,Men,M,1951,148
Doroteo Flores,Men,M,1952,152
Keizo Yamada,Men,M,1953,139
Veikko Karvonen,Men,M,1954,141
Hideo Hamamura,Men,M,1955,138
Antti Viskari,Men,M,1956,134
John J. Kelley,Men,M,1957,140
Franjo Mihalic,Men,M,1958,146
Eino Oksanen,Men,M,1959,143
Paavo Kotila,Men,M,1960,141
Eino Oksanen,Men,M,1961,144
Eino Oksanen,Men,M,1962,144
Aurèle Vandendriessche,Men,M,1963,139
Aurèle Vandendriessche,Men,M,1964,140
Morio Shigematsu,Men,M,1965,137
Kenji Kimihara,Men,M,1966,137
Dave McKenzie,Men,M,1967,136
Amby Burfoot,Men,M,1968,142
Yoshiaki Unetani,Men,M,1969,134
Ron Hill,Men,M,1970,131
Álvaro Mejía,Men,M,1971,139
Olavi Suomalainen,Men,M,1972,136
Jon Anderson,Men,M,1973,136
Neil Cusack,Men,M,1974,134
Bill Rodgers,Men,M,1975,130
Jack Fultz,Men,M,1976,140
Jerome Drayton,Men,M,1977,135
Bill Rodgers,Men,M,1978,130
Bill Rodgers,Men,M,1979,129
Bill Rodgers,Men,M,1980,132
Toshihiko Seko,Men,M,1981,129
Alberto Salazar,Men,M,1982,129
Greg Meyer,Men,M,1983,129
Geoff Smith,Men,M,1984,131
Geoff Smith,Men,M,1985,134
Robert de Castella,Men,M,1986,128
Toshihiko Seko,Men,M,1987,132
Ibrahim Hussein,Men,M,1988,129
Abebe Mekonnen,Men,M,1989,129
